Name;Type;Description
Double-checked locking;Concurrency pattern;"Reduce the overhead of acquiring a lock by first testing the locking criterion (the 'lock hint') in an unsafe manner; only if that succeeds does the actual locking logic proceed. Can be unsafe when implemented in some language/hardware combinations. It can therefore sometimes be considered an anti-pattern."
Event-based asynchronous;Concurrency pattern;Addresses problems with the asynchronous pattern that occur in multithreaded programs.[23]
Guarded suspension;Concurrency pattern;Manages operations that require both a lock to be acquired and a precondition to be satisfied before the operation can be executed.
Join;Concurrency pattern;Join-pattern provides a way to write concurrent, parallel and distributed programs by message passing. Compared to the use of threads and locks, this is a high-level programming model.
Lock;Concurrency pattern;"One thread puts a ""lock"" on a resource, preventing other threads from accessing or modifying it.[24]"
Messaging design pattern;Concurrency pattern;Allows the interchange of information (i.e. messages) between components and applications.
Monitor object;Concurrency pattern;An object whose methods are subject to mutual exclusion, thus preventing multiple objects from erroneously trying to use it at the same time.
Reactor;Concurrency pattern;A reactor object provides an asynchronous interface to resources that must be handled synchronously.
Read-write lock;Concurrency pattern;Allows concurrent read access to an object, but requires exclusive access for write operations. An underlying semaphore might be used for writing, and a Copy-on-write mechanism may or may not be used.
Scheduler;Concurrency pattern;Explicitly control when threads may execute single-threaded code.
Thread pool;Concurrency pattern;A number of threads are created to perform a number of tasks, which are usually organized in a queue. Typically, there are many more tasks than threads. Can be considered a special case of the object pool pattern.
Thread-specific storage;Concurrency pattern;"Static or ""global"" memory local to a thread."
Safe Concurrency with Exclusive Ownership;Concurrency pattern;Avoiding the need for runtime concurrent mechanisms, because exclusive ownership can be proven. This is a notable capability of the Rust language, but compile-time checking isn't the only means, a programmer will often manually design such pattern into code - omitting the use of locking mechanism because the programmer assesses that a given variable is never going to be concurrently accessed.
CPU atomic operation;Concurrency pattern;x86 and other CPU architectures support a range of atomic instructions that guarantee memory safety for modifying and accessing primitive values (integers). For example, two threads may both increment a counter safely. These capabilities can also be used to implement the mechanisms for other concurrency pattern as above. The C# language uses the Interlocked class for these capabilities.
